year,month,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views
2008,01,863575077,863575077,0,0,0,0
2008,02,805618770,805618770,0,0,0,0
2008,03,821957233,821957233,0,0,0,0
2008,04,844357513,844357513,0,0,0,0
2008,05,827713709,827713709,0,0,0,0
2008,06,825055354,825055354,0,0,0,0
2008,07,780369890,780369890,0,0,0,0
2008,08,804302071,804302071,0,0,0,0
2008,09,817672904,817672904,0,0,0,0
2008,10,855432765,855432765,0,0,0,0
2008,11,1007854264,1007854264,0,0,0,0
2008,12,1482076522,1482076522,0,0,0,0
2009,01,1313287179,1313287179,0,0,0,0
2009,02,916254643,916254643,0,0,0,0
2009,03,1010935249,1010935249,0,0,0,0
2009,04,816911070,816911070,0,0,0,0
2009,05,900827289,900827289,0,0,0,0
2009,06,908943732,908943732,0,0,0,0
2009,07,846000568,846000568,0,0,0,0
2009,08,839851733,839851733,0,0,0,0
2009,09,602992497,602992497,0,0,0,0
2009,10,880828772,880828772,0,0,0,0
2009,11,892473405,892473405,0,0,0,0
2009,12,783921314,783921314,0,0,0,0
2010,01,888038285,888038285,0,0,0,0
2010,02,823448165,823448165,0,0,0,0
2010,03,836322180,836322180,0,0,0,0
2010,04,771419721,771419721,0,0,0,0
2010,05,778512486,778512486,0,0,0,0
2010,06,596213096,596213096,0,0,0,0
2010,07,631180879,631180879,0,0,0,0
2010,08,952332186,952332186,0,0,0,0
2010,09,1040867552,1040867552,0,0,0,0
2010,10,1627809061,1627809061,0,0,0,0
2010,11,995628729,995628729,0,0,0,0
2010,12,968407157,968407157,0,0,0,0
2011,01,1146508998,1146508998,0,0,0,0
2011,02,911219090,911219090,0,0,0,0
2011,03,1000068078,1000068078,0,0,0,0
2011,04,868707187,868707187,0,0,0,0
2011,05,1032177894,1032177894,0,0,0,0
2011,06,963032634,963032634,0,0,0,0
2011,07,950102155,950102155,0,0,0,0
2011,08,895803744,895803744,0,0,0,0
2011,09,763290597,763290597,0,0,0,0
2011,10,937347272,937347272,0,0,0,0
2011,11,1017247857,1017247857,0,0,0,0
2011,12,879453223,879453223,0,0,0,0
2012,01,1143793098,1143793098,0,0,0,0
2012,02,1027600446,1027600446,0,0,0,0
2012,03,1007788513,1007788513,0,0,0,0
2012,04,946861623,946861623,0,0,0,0
2012,05,1008782690,1008782690,0,0,0,0
2012,06,1004848001,1004848001,0,0,0,0
2012,07,1011811814,1011811814,0,0,0,0
2012,08,957277295,957277295,0,0,0,0
2012,09,962492935,962492935,0,0,0,0
2012,10,1060645143,1060645143,0,0,0,0
2012,11,1134705757,1134705757,0,0,0,0
2012,12,1057051641,1057051641,0,0,0,0
2013,01,1220628575,1220628575,0,0,0,0
2013,02,1023280228,1023280228,0,0,0,0
2013,03,1021650672,1021650672,0,0,0,0
2013,04,928205605,928205605,0,0,0,0
2013,05,943055053,943055053,0,0,0,0
2013,06,944364286,944364286,0,0,0,0
2013,07,970770754,970770754,0,0,0,0
2013,08,1128949669,1128949669,0,0,0,0
2013,09,1148553873,1148553873,0,0,0,0
2013,10,1189152295,1189152295,0,0,0,0
2013,11,1198112011,1198112011,0,0,0,0
2013,12,841118438,841118438,0,0,0,0
2014,01,974435535,974435535,0,0,0,0
2014,02,947693748,947693748,0,0,0,0
2014,03,982222158,982222158,0,0,0,0
2014,04,895164141,895164141,0,0,0,0
2014,05,904509427,904509427,0,0,0,0
2014,06,841901684,841901684,0,0,0,0
2014,07,879262963,879262963,0,0,0,0
2014,08,859268987,859268987,0,0,0,0
2014,09,881982739,881982739,0,0,0,0
2014,10,1192913373,848030024,344883349,0,0,0
2014,11,1158287600,804898233,353389367,0,0,0
2014,12,1190701966,788673535,402028431,0,0,0
2015,01,1318198735,886129940,432068795,0,0,0
2015,02,1129974279,762718055,367256224,0,0,0
2015,03,1243799156,850583285,393215871,0,0,0
2015,04,1179110144,791575519,387534625,0,0,0
2015,05,1174787789,767545864,407241925,0,0,0
2015,06,1101722264,724286442,377435822,0,0,0
2015,07,1042241553,683638190,358603363,978324726,600048507,378276219
2015,08,1028714604,653685687,375028917,968271490,578484491,389786999
2015,09,1054241646,681258530,372983116,973064683,589658905,383405778
2015,10,1110221850,716888880,393332970,1018788554,612646879,406141675
2015,11,1154308029,739649354,414658675,1060273698,630300501,429973197
2015,12,1122719453,678535575,444183878,1043373021,581381553,461991468
2016,01,1282654969,787957647,494697322,1198156337,684031276,514125061
2016,02,1146457287,724540330,421916957,1059595839,619266885,440328954
2016,03,1163306714,719295474,444011240,1069851715,607640647,462211068
2016,04,1116488978,703630566,412858412,1004644645,580443508,424201137
2016,05,1099871640,678546194,421325446,996600182,554424314,442175868
2016,06,1104506791,690217919,414288872,996441290,563906831,432534459
2016,07,1059103658,655650198,403453460,941186466,519604444,421582022
2016,08,151729247,98123551,53605696,951902121,528579699,423322422
2016,09,0,0,0,930500187,523161581,407338606
2016,10,0,0,0,997282498,551339470,445943028
2016,11,0,0,0,1045495394,596964395,448530999
2016,12,0,0,0,1009891476,526706129,483185347
2017,01,0,0,0,1209491244,633188007,576303237
2017,02,0,0,0,1042648873,548787263,493861610
2017,03,0,0,0,1069338632,573006489,496332143
2017,04,0,0,0,934865255,489196091,445669164
2017,05,0,0,0,973264761,539252926,434011835
2017,06,0,0,0,900712446,487329424,413383022
2017,07,0,0,0,914261437,488452103,425809334
2017,08,0,0,0,910168727,483225571,426943156
2017,09,0,0,0,900020604,479492817,420527787
2017,10,0,0,0,967825245,511252303,456572942
2017,11,0,0,0,951884898,512926943,438957955
2017,12,0,0,0,928160985,463241916,464919069
2018,01,0,0,0,1054641356,550078771,504562585
2018,02,0,0,0,912358163,478531830,433826333
2018,03,0,0,0,982983716,508336606,474647110
2018,04,0,0,0,887583392,448091633,439491759
2018,05,0,0,0,926023167,453673396,472349771
2018,06,0,0,0,896253503,445930468,450323035
2018,07,0,0,0,905692249,440770197,464922052
2018,08,0,0,0,904402549,448198808,456203741
2018,09,0,0,0,865049445,418754119,446295326
